Date,Open,High,Low,Close,Volume,Change
2021-06-04,14600,14800,14550,14700,133900,0.006849315068493178
2021-06-07,14800,15550,14750,15150,511140,0.030612244897959107
2021-06-08,15350,15500,15000,15050,272839,-0.0066006600660065695
2021-06-09,15000,15100,14700,14700,168044,-0.023255813953488413
2021-06-10,14600,15100,14600,15100,176342,0.027210884353741527
2021-06-11,15150,15200,14750,14900,146819,-0.013245033112582738
2021-06-14,14900,14950,14650,14650,107560,-0.016778523489932917
2021-06-15,14800,14800,14550,14600,142514,-0.0034129692832765013
2021-06-16,14600,14650,14500,14550,202631,-0.003424657534246589
2021-06-17,14600,14600,14400,14450,123852,-0.0068728522336769515
2021-06-18,14500,14550,14350,14450,116161,0.0
2021-06-21,14400,14600,14350,14500,123450,0.0034602076124568004
2021-06-22,14500,14550,14400,14450,99679,-0.0034482758620689724
2021-06-23,14450,14700,14400,14550,186682,0.006920415224913601
2021-06-24,14700,16150,14700,15400,1999686,0.05841924398625431
2021-06-25,15550,15600,15200,15400,378323,0.0
2021-06-28,15600,15800,15400,15750,404835,0.022727272727272707
2021-06-29,15800,16100,15600,15650,413276,-0.006349206349206327
2021-06-30,15650,15800,15450,15650,153804,0.0
2021-07-01,15700,15900,15450,15800,268235,0.009584664536741228
2021-07-02,15900,15950,15600,15750,266741,-0.0031645569620253333
2021-07-05,15850,16350,15800,16000,698678,0.015873015873015817
2021-07-06,16100,16200,15600,15700,284953,-0.018750000000000044
2021-07-07,15750,16350,15550,16100,645979,0.02547770700636942
2021-07-08,16100,16150,15300,15350,483775,-0.04658385093167705
2021-07-09,15200,15250,14800,14950,342502,-0.026058631921824116
2021-07-12,15000,15150,14900,15050,160334,0.006688963210702337
2021-07-13,15050,15100,14850,14850,184810,-0.013289036544850474
2021-07-14,14950,14950,14700,14750,118825,-0.006734006734006703
2021-07-15,15000,15000,14750,14850,149813,0.006779661016949046
2021-07-16,14850,14950,14650,14800,169898,-0.0033670033670033517
2021-07-19,14800,15200,14700,15100,206899,0.020270270270270174
2021-07-20,14950,15050,14800,14900,107379,-0.013245033112582738
2021-07-21,15050,15050,14750,14800,94116,-0.006711409395973145
2021-07-22,14750,14850,14650,14750,109511,-0.0033783783783783994
2021-07-23,14750,14900,14500,14600,107504,-0.01016949152542368
2021-07-26,14700,14700,14350,14400,192180,-0.013698630136986356
2021-07-27,14500,14550,14350,14400,96069,0.0
